model,f1_micro,f1_macro,jaccard_samples,hamming_loss
LightGBM,0.9952314165497896,0.9867388300875383,0.9883944153577662,0.002966841186736475
DistilBERT,0.9806742841021301,0.7307013307787664,0.961027175268013,0.011954624781849913
BERT Base,0.9658204509998581,0.6241020622177647,0.9362353527798555,0.021029668411867364
RandomForest,0.9563867325335216,0.8504256984606293,0.9206694091249065,0.026963350785340314
Linear SVM,0.9541387024608501,0.8497093422360757,0.9171590625779108,0.028621291448516578
LogReg,0.93670532345955,0.791541472004934,0.8786848666168038,0.03952879581151832
NaiveBayes,0.8736754043502509,0.555288766958437,0.8129173938336242,0.07905759162303665
Keyword Baseline,0.6275693003960022,0.4785468620446012,0.43346203244109,0.34467713787085513
